"specimen_ID";"kelp_belt";"quadrat";"site_name";"site_id";"latitude";"longitude";"sector";"taxon";"abundance";"phylum"
"RMAR1967";"Ld";1;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Phyllophora crispa";6;"Rhodophyta"
"RMAR1968";"Ld";1;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Polyneura bonnemaisonii";21;"Rhodophyta"
"RMAR1969";"Ld";1;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Plocamium";23;"Rhodophyta"
"RMAR1970";"Ld";1;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Callophyllis laciniata";1;"Rhodophyta"
"RMAR1971";"Ld";1;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Delesseria sanguinea";1;"Rhodophyta"
"RMAR1972";"Ld";2;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Gymnogongrus";1;"Rhodophyta"
"RMAR1973";"Ld";2;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Polyneura bonnemaisonii";4;"Rhodophyta"
"RMAR1974";"Ld";2;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Phyllophora crispa";4;"Rhodophyta"
"RMAR1975";"Ld";2;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Plocamium";30;"Rhodophyta"
"RMAR1976";"Ld";2;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Dilsea carnosa";6;"Rhodophyta"
"RMAR1977";"Ld";2;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Corallina";1;"Rhodophyta"
"RMAR1978";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"undetermined Delesseriaceae";1;"Rhodophyta"
"RMAR1979";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Dilsea carnosa";5;"Rhodophyta"
"RMAR1980";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Phyllophora crispa";5;"Rhodophyta"
"RMAR1981";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Plocamium";23;"Rhodophyta"
"RMAR1982";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Polyneura bonnemaisonii";12;"Rhodophyta"
"RMAR1983";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Callophyllis laciniata";2;"Rhodophyta"
"RMAR1984";"Ld";3;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"undetermined Delesseriaceae";1;"Rhodophyta"
"RMAR1985";"Lh";4;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Phyllophora crispa";3;"Rhodophyta"
"RMAR1986";"Lh";4;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Polyneura bonnemaisonii";10;"Rhodophyta"
"RMAR1987";"Lh";4;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Plocamium";80;"Rhodophyta"
"RMAR1988";"Lh";4;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Callophyllis laciniata";9;"Rhodophyta"
"RMAR1989";"Lh";4;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Dictyopteris polypodioides";2;"Ochrophyta"
"RMAR1990";"Lh";5;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Heterosiphonia plumosa";1;"Rhodophyta"
"RMAR1991";"Lh";5;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Plocamium";100;"Rhodophyta"
"RMAR1992";"Lh";5;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Phyllophora crispa";11;"Rhodophyta"
"RMAR1993";"Lh";5;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Callophyllis laciniata";4;"Rhodophyta"
"RMAR1994";"Lh";5;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Dictyopteris polypodioides";6;"Ochrophyta"
"RMAR1995";"Lh";5;"GUIMEREUX";1;"48.696583";"-1.960633";"Baie de Saint-Malo";"Corallina";1;"Rhodophyta"
